source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,964559,ยูโทเปี้ยน,U-GESIC BALM,(eugenol 1.2 g/100 g + menthol 3 g/100 g + methyl salicylate 15 g/100 g + peppermint oil 2.9 g/100 g,ยูโทเปี้ยน,ACTIVE
TMT,466715,ยูโทเปี้ยน,UKLINDA-150,"(clindamycin 150 mg) capsule, hard, 1 capsule",ยูโทเปี้ยน,ACTIVE
TMT,466736,ยูโทเปี้ยน,UKLINDA-300,"(clindamycin 300 mg) capsule, hard, 1 capsule",ยูโทเปี้ยน,ACTIVE
TMT,101078,ยูโทเปี้ยน,ULCACIN,"(cimetidine 200 mg) film-coated tablet, 1 tablet",ยูโทเปี้ยน,ACTIVE
TMT,103007,ยูโทเปี้ยน,ULCACIN,"(cimetidine 200 mg/2 mL) solution for injection, 2 mL ampoule",ยูโทเปี้ยน,ACTIVE
TMT,102143,ยูโทเปี้ยน,ULCACIN 400,"(cimetidine 400 mg) film-coated tablet, 1 tablet",ยูโทเปี้ยน,ACTIVE
TMT,974334,สยามเภสัช,ULCED,"(pantoprazole 40 mg) powder for solution for injection, 1 vial",สยามเภสัช,ACTIVE
TMT,102722,ไซอเมริกันฟาร์มาซูติเคิ้ลส์,ULCEDINE,"(cimetidine 200 mg) capsule, hard, 1 capsule",ไซอเมริกันฟาร์มาซูติเคิ้ลส์,ACTIVE
TMT,102746,ไซอเมริกันฟาร์มาซูติเคิ้ลส์,ULCEDINE 400,"(cimetidine 400 mg) capsule, hard, 1 capsule",ไซอเมริกันฟาร์มาซูติเคิ้ลส์,ACTIVE
TMT,1132640,สยามเภสัช,ULCEFATE,"(sucralfate 1 g) tablet, 1 tablet",สยามเภสัช,ACTIVE
TMT,137252,สยามเภสัช,ULCEFATE,"(sucralfate 1 g/5 mL) oral suspension, 240 mL bottle",สยามเภสัช,ACTIVE
TMT,810214,สยามเภสัช,ULCEFATE,"(sucralfate 1 g/5 mL) oral suspension, 5 mL sachet",สยามเภสัช,ACTIVE
